"filename","extension","modality_code","modality","vocal_channel_code","vocal_channel","emotion_code","emotion","emotional_intensity_code","emotional_intensity","statement_code","statement","repetition_code","repetition","actor_code","actor_id","actor_gender","actor_folder","relative_path"
"03-01-01-01-01-01-01.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","01","1","male","Actor_01","Actor_01/03-01-01-01-01-01-01.wav"
"03-01-01-01-01-01-02.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","02","2","female","Actor_02","Actor_02/03-01-01-01-01-01-02.wav"
"03-01-01-01-01-01-03.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","03","3","male","Actor_03","Actor_03/03-01-01-01-01-01-03.wav"
"03-01-01-01-01-01-04.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","04","4","female","Actor_04","Actor_04/03-01-01-01-01-01-04.wav"
"03-01-01-01-01-01-05.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","05","5","male","Actor_05","Actor_05/03-01-01-01-01-01-05.wav"
"03-01-01-01-01-01-06.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","06","6","female","Actor_06","Actor_06/03-01-01-01-01-01-06.wav"
"03-01-01-01-01-01-07.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","07","7","male","Actor_07","Actor_07/03-01-01-01-01-01-07.wav"
"03-01-01-01-01-01-08.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","08","8","female","Actor_08","Actor_08/03-01-01-01-01-01-08.wav"
"03-01-01-01-01-01-09.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","09","9","male","Actor_09","Actor_09/03-01-01-01-01-01-09.wav"
"03-01-01-01-01-01-10.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","10","10","female","Actor_10","Actor_10/03-01-01-01-01-01-10.wav"
"03-01-01-01-01-01-11.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","11","11","male","Actor_11","Actor_11/03-01-01-01-01-01-11.wav"
"03-01-01-01-01-01-12.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","12","12","female","Actor_12","Actor_12/03-01-01-01-01-01-12.wav"
"03-01-01-01-01-01-13.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","13","13","male","Actor_13","Actor_13/03-01-01-01-01-01-13.wav"
"03-01-01-01-01-01-14.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","14","14","female","Actor_14","Actor_14/03-01-01-01-01-01-14.wav"
"03-01-01-01-01-01-15.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","15","15","male","Actor_15","Actor_15/03-01-01-01-01-01-15.wav"
"03-01-01-01-01-01-16.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","16","16","female","Actor_16","Actor_16/03-01-01-01-01-01-16.wav"
"03-01-01-01-01-01-17.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","17","17","male","Actor_17","Actor_17/03-01-01-01-01-01-17.wav"
"03-01-01-01-01-01-18.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","18","18","female","Actor_18","Actor_18/03-01-01-01-01-01-18.wav"
"03-01-01-01-01-01-19.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","19","19","male","Actor_19","Actor_19/03-01-01-01-01-01-19.wav"
"03-01-01-01-01-01-20.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","20","20","female","Actor_20","Actor_20/03-01-01-01-01-01-20.wav"
"03-01-01-01-01-01-21.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","21","21","male","Actor_21","Actor_21/03-01-01-01-01-01-21.wav"
"03-01-01-01-01-01-22.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","22","22","female","Actor_22","Actor_22/03-01-01-01-01-01-22.wav"
"03-01-01-01-01-01-23.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","23","23","male","Actor_23","Actor_23/03-01-01-01-01-01-23.wav"
"03-01-01-01-01-01-24.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","01","1st","24","24","female","Actor_24","Actor_24/03-01-01-01-01-01-24.wav"
"03-01-01-01-01-02-01.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","01","1","male","Actor_01","Actor_01/03-01-01-01-01-02-01.wav"
"03-01-01-01-01-02-02.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","02","2","female","Actor_02","Actor_02/03-01-01-01-01-02-02.wav"
"03-01-01-01-01-02-03.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","03","3","male","Actor_03","Actor_03/03-01-01-01-01-02-03.wav"
"03-01-01-01-01-02-04.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","04","4","female","Actor_04","Actor_04/03-01-01-01-01-02-04.wav"
"03-01-01-01-01-02-05.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","05","5","male","Actor_05","Actor_05/03-01-01-01-01-02-05.wav"
"03-01-01-01-01-02-06.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","06","6","female","Actor_06","Actor_06/03-01-01-01-01-02-06.wav"
"03-01-01-01-01-02-07.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","07","7","male","Actor_07","Actor_07/03-01-01-01-01-02-07.wav"
"03-01-01-01-01-02-08.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","08","8","female","Actor_08","Actor_08/03-01-01-01-01-02-08.wav"
"03-01-01-01-01-02-09.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","09","9","male","Actor_09","Actor_09/03-01-01-01-01-02-09.wav"
"03-01-01-01-01-02-10.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","10","10","female","Actor_10","Actor_10/03-01-01-01-01-02-10.wav"
"03-01-01-01-01-02-11.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","11","11","male","Actor_11","Actor_11/03-01-01-01-01-02-11.wav"
"03-01-01-01-01-02-12.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","12","12","female","Actor_12","Actor_12/03-01-01-01-01-02-12.wav"
"03-01-01-01-01-02-13.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","13","13","male","Actor_13","Actor_13/03-01-01-01-01-02-13.wav"
"03-01-01-01-01-02-14.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","14","14","female","Actor_14","Actor_14/03-01-01-01-01-02-14.wav"
"03-01-01-01-01-02-15.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","15","15","male","Actor_15","Actor_15/03-01-01-01-01-02-15.wav"
"03-01-01-01-01-02-16.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","16","16","female","Actor_16","Actor_16/03-01-01-01-01-02-16.wav"
"03-01-01-01-01-02-17.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","17","17","male","Actor_17","Actor_17/03-01-01-01-01-02-17.wav"
"03-01-01-01-01-02-18.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","18","18","female","Actor_18","Actor_18/03-01-01-01-01-02-18.wav"
"03-01-01-01-01-02-19.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","19","19","male","Actor_19","Actor_19/03-01-01-01-01-02-19.wav"
"03-01-01-01-01-02-20.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","20","20","female","Actor_20","Actor_20/03-01-01-01-01-02-20.wav"
"03-01-01-01-01-02-21.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","21","21","male","Actor_21","Actor_21/03-01-01-01-01-02-21.wav"
"03-01-01-01-01-02-22.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","22","22","female","Actor_22","Actor_22/03-01-01-01-01-02-22.wav"
"03-01-01-01-01-02-23.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","23","23","male","Actor_23","Actor_23/03-01-01-01-01-02-23.wav"
"03-01-01-01-01-02-24.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","01","Kids are talking by the door","02","2nd","24","24","female","Actor_24","Actor_24/03-01-01-01-01-02-24.wav"
"03-01-01-01-02-01-01.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","01","1","male","Actor_01","Actor_01/03-01-01-01-02-01-01.wav"
"03-01-01-01-02-01-02.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","02","2","female","Actor_02","Actor_02/03-01-01-01-02-01-02.wav"
"03-01-01-01-02-01-03.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","03","3","male","Actor_03","Actor_03/03-01-01-01-02-01-03.wav"
"03-01-01-01-02-01-04.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","04","4","female","Actor_04","Actor_04/03-01-01-01-02-01-04.wav"
"03-01-01-01-02-01-05.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","05","5","male","Actor_05","Actor_05/03-01-01-01-02-01-05.wav"
"03-01-01-01-02-01-06.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","06","6","female","Actor_06","Actor_06/03-01-01-01-02-01-06.wav"
"03-01-01-01-02-01-07.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","07","7","male","Actor_07","Actor_07/03-01-01-01-02-01-07.wav"
"03-01-01-01-02-01-08.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","08","8","female","Actor_08","Actor_08/03-01-01-01-02-01-08.wav"
"03-01-01-01-02-01-09.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","09","9","male","Actor_09","Actor_09/03-01-01-01-02-01-09.wav"
"03-01-01-01-02-01-10.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","10","10","female","Actor_10","Actor_10/03-01-01-01-02-01-10.wav"
"03-01-01-01-02-01-11.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","11","11","male","Actor_11","Actor_11/03-01-01-01-02-01-11.wav"
"03-01-01-01-02-01-12.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","12","12","female","Actor_12","Actor_12/03-01-01-01-02-01-12.wav"
"03-01-01-01-02-01-13.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","13","13","male","Actor_13","Actor_13/03-01-01-01-02-01-13.wav"
"03-01-01-01-02-01-14.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","14","14","female","Actor_14","Actor_14/03-01-01-01-02-01-14.wav"
"03-01-01-01-02-01-15.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","15","15","male","Actor_15","Actor_15/03-01-01-01-02-01-15.wav"
"03-01-01-01-02-01-16.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","16","16","female","Actor_16","Actor_16/03-01-01-01-02-01-16.wav"
"03-01-01-01-02-01-17.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","17","17","male","Actor_17","Actor_17/03-01-01-01-02-01-17.wav"
"03-01-01-01-02-01-18.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","18","18","female","Actor_18","Actor_18/03-01-01-01-02-01-18.wav"
"03-01-01-01-02-01-19.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","19","19","male","Actor_19","Actor_19/03-01-01-01-02-01-19.wav"
"03-01-01-01-02-01-20.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","20","20","female","Actor_20","Actor_20/03-01-01-01-02-01-20.wav"
"03-01-01-01-02-01-21.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","21","21","male","Actor_21","Actor_21/03-01-01-01-02-01-21.wav"
"03-01-01-01-02-01-22.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","22","22","female","Actor_22","Actor_22/03-01-01-01-02-01-22.wav"
"03-01-01-01-02-01-23.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","23","23","male","Actor_23","Actor_23/03-01-01-01-02-01-23.wav"
"03-01-01-01-02-01-24.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","01","1st","24","24","female","Actor_24","Actor_24/03-01-01-01-02-01-24.wav"
"03-01-01-01-02-02-01.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","01","1","male","Actor_01","Actor_01/03-01-01-01-02-02-01.wav"
"03-01-01-01-02-02-02.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","02","2","female","Actor_02","Actor_02/03-01-01-01-02-02-02.wav"
"03-01-01-01-02-02-03.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","03","3","male","Actor_03","Actor_03/03-01-01-01-02-02-03.wav"
"03-01-01-01-02-02-04.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","04","4","female","Actor_04","Actor_04/03-01-01-01-02-02-04.wav"
"03-01-01-01-02-02-05.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","05","5","male","Actor_05","Actor_05/03-01-01-01-02-02-05.wav"
"03-01-01-01-02-02-06.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","06","6","female","Actor_06","Actor_06/03-01-01-01-02-02-06.wav"
"03-01-01-01-02-02-07.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","07","7","male","Actor_07","Actor_07/03-01-01-01-02-02-07.wav"
"03-01-01-01-02-02-08.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","08","8","female","Actor_08","Actor_08/03-01-01-01-02-02-08.wav"
"03-01-01-01-02-02-09.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","09","9","male","Actor_09","Actor_09/03-01-01-01-02-02-09.wav"
"03-01-01-01-02-02-10.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","10","10","female","Actor_10","Actor_10/03-01-01-01-02-02-10.wav"
"03-01-01-01-02-02-11.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","11","11","male","Actor_11","Actor_11/03-01-01-01-02-02-11.wav"
"03-01-01-01-02-02-12.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","12","12","female","Actor_12","Actor_12/03-01-01-01-02-02-12.wav"
"03-01-01-01-02-02-13.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","13","13","male","Actor_13","Actor_13/03-01-01-01-02-02-13.wav"
"03-01-01-01-02-02-14.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","14","14","female","Actor_14","Actor_14/03-01-01-01-02-02-14.wav"
"03-01-01-01-02-02-15.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","15","15","male","Actor_15","Actor_15/03-01-01-01-02-02-15.wav"
"03-01-01-01-02-02-16.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","16","16","female","Actor_16","Actor_16/03-01-01-01-02-02-16.wav"
"03-01-01-01-02-02-17.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","17","17","male","Actor_17","Actor_17/03-01-01-01-02-02-17.wav"
"03-01-01-01-02-02-18.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","18","18","female","Actor_18","Actor_18/03-01-01-01-02-02-18.wav"
"03-01-01-01-02-02-19.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","19","19","male","Actor_19","Actor_19/03-01-01-01-02-02-19.wav"
"03-01-01-01-02-02-20.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","20","20","female","Actor_20","Actor_20/03-01-01-01-02-02-20.wav"
"03-01-01-01-02-02-21.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","21","21","male","Actor_21","Actor_21/03-01-01-01-02-02-21.wav"
"03-01-01-01-02-02-22.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","22","22","female","Actor_22","Actor_22/03-01-01-01-02-02-22.wav"
"03-01-01-01-02-02-23.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","23","23","male","Actor_23","Actor_23/03-01-01-01-02-02-23.wav"
"03-01-01-01-02-02-24.wav","wav","03","audio-only","01","speech","01","neutral","01","normal","02","Dogs are sitting by the door","02","2nd","24","24","female","Actor_24","Actor_24/03-01-01-01-02-02-24.wav"
"03-01-02-01-01-01-01.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","01","1","male","Actor_01","Actor_01/03-01-02-01-01-01-01.wav"
"03-01-02-01-01-01-02.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","02","2","female","Actor_02","Actor_02/03-01-02-01-01-01-02.wav"
"03-01-02-01-01-01-03.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","03","3","male","Actor_03","Actor_03/03-01-02-01-01-01-03.wav"
"03-01-02-01-01-01-04.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","04","4","female","Actor_04","Actor_04/03-01-02-01-01-01-04.wav"
"03-01-02-01-01-01-05.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","05","5","male","Actor_05","Actor_05/03-01-02-01-01-01-05.wav"
"03-01-02-01-01-01-06.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","06","6","female","Actor_06","Actor_06/03-01-02-01-01-01-06.wav"
"03-01-02-01-01-01-07.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","07","7","male","Actor_07","Actor_07/03-01-02-01-01-01-07.wav"
"03-01-02-01-01-01-08.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","08","8","female","Actor_08","Actor_08/03-01-02-01-01-01-08.wav"
"03-01-02-01-01-01-09.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","09","9","male","Actor_09","Actor_09/03-01-02-01-01-01-09.wav"
"03-01-02-01-01-01-10.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","10","10","female","Actor_10","Actor_10/03-01-02-01-01-01-10.wav"
"03-01-02-01-01-01-11.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","11","11","male","Actor_11","Actor_11/03-01-02-01-01-01-11.wav"
"03-01-02-01-01-01-12.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","12","12","female","Actor_12","Actor_12/03-01-02-01-01-01-12.wav"
"03-01-02-01-01-01-13.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","13","13","male","Actor_13","Actor_13/03-01-02-01-01-01-13.wav"
"03-01-02-01-01-01-14.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","14","14","female","Actor_14","Actor_14/03-01-02-01-01-01-14.wav"
"03-01-02-01-01-01-15.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","15","15","male","Actor_15","Actor_15/03-01-02-01-01-01-15.wav"
"03-01-02-01-01-01-16.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","16","16","female","Actor_16","Actor_16/03-01-02-01-01-01-16.wav"
"03-01-02-01-01-01-17.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","17","17","male","Actor_17","Actor_17/03-01-02-01-01-01-17.wav"
"03-01-02-01-01-01-18.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","18","18","female","Actor_18","Actor_18/03-01-02-01-01-01-18.wav"
"03-01-02-01-01-01-19.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","19","19","male","Actor_19","Actor_19/03-01-02-01-01-01-19.wav"
"03-01-02-01-01-01-20.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","20","20","female","Actor_20","Actor_20/03-01-02-01-01-01-20.wav"
"03-01-02-01-01-01-21.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","21","21","male","Actor_21","Actor_21/03-01-02-01-01-01-21.wav"
"03-01-02-01-01-01-22.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","22","22","female","Actor_22","Actor_22/03-01-02-01-01-01-22.wav"
"03-01-02-01-01-01-23.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","23","23","male","Actor_23","Actor_23/03-01-02-01-01-01-23.wav"
"03-01-02-01-01-01-24.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","01","1st","24","24","female","Actor_24","Actor_24/03-01-02-01-01-01-24.wav"
"03-01-02-01-01-02-01.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","01","1","male","Actor_01","Actor_01/03-01-02-01-01-02-01.wav"
"03-01-02-01-01-02-02.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","02","2","female","Actor_02","Actor_02/03-01-02-01-01-02-02.wav"
"03-01-02-01-01-02-03.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","03","3","male","Actor_03","Actor_03/03-01-02-01-01-02-03.wav"
"03-01-02-01-01-02-04.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","04","4","female","Actor_04","Actor_04/03-01-02-01-01-02-04.wav"
"03-01-02-01-01-02-05.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","05","5","male","Actor_05","Actor_05/03-01-02-01-01-02-05.wav"
"03-01-02-01-01-02-06.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","06","6","female","Actor_06","Actor_06/03-01-02-01-01-02-06.wav"
"03-01-02-01-01-02-07.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","07","7","male","Actor_07","Actor_07/03-01-02-01-01-02-07.wav"
"03-01-02-01-01-02-08.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","08","8","female","Actor_08","Actor_08/03-01-02-01-01-02-08.wav"
"03-01-02-01-01-02-09.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","09","9","male","Actor_09","Actor_09/03-01-02-01-01-02-09.wav"
"03-01-02-01-01-02-10.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","10","10","female","Actor_10","Actor_10/03-01-02-01-01-02-10.wav"
"03-01-02-01-01-02-11.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","11","11","male","Actor_11","Actor_11/03-01-02-01-01-02-11.wav"
"03-01-02-01-01-02-12.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","12","12","female","Actor_12","Actor_12/03-01-02-01-01-02-12.wav"
"03-01-02-01-01-02-13.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","13","13","male","Actor_13","Actor_13/03-01-02-01-01-02-13.wav"
"03-01-02-01-01-02-14.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","14","14","female","Actor_14","Actor_14/03-01-02-01-01-02-14.wav"
"03-01-02-01-01-02-15.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","15","15","male","Actor_15","Actor_15/03-01-02-01-01-02-15.wav"
"03-01-02-01-01-02-16.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","16","16","female","Actor_16","Actor_16/03-01-02-01-01-02-16.wav"
"03-01-02-01-01-02-17.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","17","17","male","Actor_17","Actor_17/03-01-02-01-01-02-17.wav"
"03-01-02-01-01-02-18.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","18","18","female","Actor_18","Actor_18/03-01-02-01-01-02-18.wav"
"03-01-02-01-01-02-19.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","19","19","male","Actor_19","Actor_19/03-01-02-01-01-02-19.wav"
"03-01-02-01-01-02-20.wav","wav","03","audio-only","01","speech","02","calm","01","normal","01","Kids are talking by the door","02","2nd","20","20","female","Actor_20","Actor_20/03-01-02-01-01-02-20.wav"
