"RelativePath","Source","Destination","Size","SHA256","Reason"
"archive/logs/2026-06-15-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec\archive\logs\2026-06-15-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\logs\2026-06-15-work-log.md","11359","AED4C989513CFB2C23D4DA9FF8FE705AF9E347ABE6665CFA996D9086E7E32E01","Historical VAD work log"
"archive/logs/2026-06-17-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec\archive\logs\2026-06-17-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\logs\2026-06-17-work-log.md","21952","372D67D0DAC65F7481B0BEAE40DD1297851737AA8551B5ABA97C4902D735D25F","Historical VAD work log"
"archive/logs/2026-06-18-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec\archive\logs\2026-06-18-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\logs\2026-06-18-work-log.md","6198","16343FEB785B7413B9CF0B53752EB23874E1F1B927321C5F84EF178052BC67BD","Historical VAD work log"
"archive/logs/2026-07-03-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec\archive\logs\2026-07-03-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\logs\2026-07-03-work-log.md","7240","77D8035DF178572BBF60B0BA2445A22D65160046CC9AB4D6A602114965A6EE1B","Historical VAD work log"
"archive/logs/2026-07-16-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec\archive\logs\2026-07-16-work-log.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\logs\2026-07-16-work-log.md","3637","E21BFA84C3269C36AB41A9189AD85ACD48B695653DED327F4A59F30F6A5F752D","Historical VAD work log"
"archive/notebook_tools/_patch_notebook.py","C:\Users\RD004\Documents\lab\emotion2vec\archive\notebook_tools\_patch_notebook.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\notebook_tools\_patch_notebook.py","5243","B5F8D7E5AFECD264119CBBCEDA2B555F1C6209964FC8AEAFD95C14E3BA4D2973","Obsolete notebook editing helper"
"archive/vad_iemocap_two_stage/loss.py","C:\Users\RD004\Documents\lab\emotion2vec\archive\vad_iemocap_two_stage\loss.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\vad_iemocap_two_stage\loss.py","2712","9C2710031544B898397DD32C04A3CDDD6406918CD11D6E77E4FBCDBCD13B11E3","Obsolete VAD implementation"
"archive/vad_iemocap_two_stage/model.py","C:\Users\RD004\Documents\lab\emotion2vec\archive\vad_iemocap_two_stage\model.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\vad_iemocap_two_stage\model.py","5790","B7AB7D848DEEEF6F348BBDA5F45A03B084760A2E5B5161A99F77EC9BD3C1C933","Obsolete VAD implementation"
"archive/vad_iemocap_two_stage/train.py","C:\Users\RD004\Documents\lab\emotion2vec\archive\vad_iemocap_two_stage\train.py","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\archive\vad_iemocap_two_stage\train.py","9768","CE019368EEDC0AF5A10231863BB047CEBCA67A892A97B544677EC8E635CB3C62","Obsolete VAD implementation"
"CODE_STRUCTURE_GUIDE.md","C:\Users\RD004\Documents\lab\emotion2vec\CODE_STRUCTURE_GUIDE.md","C:\Users\RD004\Documents\lab\emotion2vec_retired_2026-09-08\CODE_STRUCTURE_GUIDE.md","5861","8A03AA45DBA6578158FCD415C01BF044E045181EE29A4C60DC245BA56E62BD07","VAD-only architecture guide"
