"BatchNumber","BatchSize","Selected","Completed","Copied","Skipped","Missing","Failed","ZeroLengthSource"
"40","500","500","0","0","0","0","500","500"
"41","500","500","74","74","0","0","426","426"
"42","500","500","317","317","0","0","183","183"
"43","500","500","500","500","0","0","0","0"
"44","500","500","500","500","0","0","0","0"
"45","500","500","500","500","0","0","0","0"
"46","500","500","500","500","0","0","0","0"
"47","500","500","500","500","0","0","0","0"
"48","500","500","500","500","0","0","0","0"
"49","500","500","500","500","0","0","0","0"
"50","500","500","500","500","0","0","0","0"
"51","500","500","500","500","0","0","0","0"
"52","500","485","485","485","0","0","0","0"
"22","500","500","499","0","499","0","1","0"
"39","500","500","481","0","481","0","19","19"
"22","500","500","499","0","499","0","1","0"
"39","500","500","481","0","481","0","19","19"
"40","500","500","0","0","0","0","500","500"
"41","500","500","74","0","74","0","426","426"
"42","500","500","317","0","317","0","183","183"
