"BatchNumber","PositionInBatch","FileName","Reason","SourceLengthBytes","SourceAttributes","DestinationLengthBytes","Emotion","SpeakerId","SplitSet","BoxSourcePath","ExpectedDestinationPath"
"22","478","MSP-PODCAST_1347_0010_0024.wav","SOURCE_OFFLINE_COPY_FAILED","183086","Offline, NotContentIndexed","-1","H","762","Development","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_1347_0010_0024.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_022\MSP-PODCAST_1347_0010_0024.wav"
"39","482","MSP-PODCAST_2339_0182.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1250","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0182.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0182.wav"
"39","483","MSP-PODCAST_2339_0213.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1287","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0213.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0213.wav"
"39","484","MSP-PODCAST_2339_0215.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1287","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0215.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0215.wav"
"39","485","MSP-PODCAST_2339_0243.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1287","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0243.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0243.wav"
"39","486","MSP-PODCAST_2339_0247.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1251","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0247.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0247.wav"
"39","487","MSP-PODCAST_2339_0248.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1251","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0248.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0248.wav"
"39","488","MSP-PODCAST_2339_0264.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","S","1251","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0264.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0264.wav"
"39","489","MSP-PODCAST_2339_0271.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1251","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0271.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0271.wav"
"39","490","MSP-PODCAST_2339_0286.wav","SOURCE_ZERO_LENGTH","0","NotContentIndexed","0","H","1286","Train","C:\Users\RD004\Box\知能情報処理システム研究室\音声\音声データベース\MSP_PODCAST\Audio\MSP-PODCAST_2339_0286.wav","C:\Users\RD004\Documents\lab\data\MSP_PODCAST\Audio\batch_039\MSP-PODCAST_2339_0286.wav"
